GHCN_ID,month,day,hour,MLY-TMIN-AVGNDS-LSTH031,meas_flag_MLY-TMIN-AVGNDS-LSTH031,comp_flag_MLY-TMIN-AVGNDS-LSTH031,years_MLY-TMIN-AVGNDS-LSTH031
FMC00914843,04,99,99,     0.0, ,P,13
FMC00914843,05,99,99,     0.0, ,P,13
FMC00914843,06,99,99,     0.0, ,P,16
FMC00914843,07,99,99,     0.0, ,P,13
FMC00914843,08,99,99,     0.0, ,P,14
FMC00914843,09,99,99,     0.0, ,P,12
FMC00914843,10,99,99,     0.0, ,P,10
FMC00914843,11,99,99,     0.0, ,P,12
FMC00914843,12,99,99,     0.0, ,P,13
FMC00914892,01,99,99,     0.0, ,R,14
FMC00914892,02,99,99,     0.0, ,R,14
FMC00914892,03,99,99,     0.0, ,R,12
FMC00914892,04,99,99,     0.0, ,R,12
FMC00914892,05,99,99,     0.0, ,R,11
FMC00914892,06,99,99,     0.0, ,R,12
FMC00914892,07,99,99,     0.0, ,R,11
FMC00914892,08,99,99,     0.0, ,R,12
FMC00914892,09,99,99,     0.0, ,R,11
FMC00914892,10,99,99,     0.0, ,R,13
FMC00914892,11,99,99,     0.0, ,R,13
FMC00914892,12,99,99,     0.0, ,R,13
FMC00914898,01,99,99,     0.0, ,P,18
FMC00914898,02,99,99,     0.0, ,P,19
FMC00914898,03,99,99,     0.0, ,P,18
FMC00914898,04,99,99,     0.0, ,P,15
FMC00914898,05,99,99,     0.0, ,P,17
FMC00914898,06,99,99,     0.0, ,P,19
FMC00914898,07,99,99,     0.0, ,P,17
FMC00914898,08,99,99,     0.0, ,P,15
FMC00914898,09,99,99,     0.0, ,P,18
FMC00914898,10,99,99,     0.0, ,P,17
FMC00914898,11,99,99,     0.0, ,P,16
FMC00914898,12,99,99,     0.0, ,P,16
FMC00914911,01,99,99,     0.0, ,P,14
FMC00914911,02,99,99,     0.0, ,P,14
FMC00914911,03,99,99,     0.0, ,P,13
FMC00914911,04,99,99,     0.0, ,P,14
FMC00914911,05,99,99,     0.0, ,P,13
FMC00914911,06,99,99,     0.0, ,P,13
FMC00914911,07,99,99,     0.0, ,P,13
FMC00914911,08,99,99,     0.0, ,P,13
FMC00914911,09,99,99,     0.0, ,P,11
FMC00914911,10,99,99,     0.0, ,P,13
FMC00914911,11,99,99,     0.0, ,P,13
FMC00914911,12,99,99,     0.0, ,P,13
FMW00040308,01,99,99,     0.0, ,S,30
FMW00040308,02,99,99,     0.0, ,S,30
FMW00040308,03,99,99,     0.0, ,S,30
FMW00040308,04,99,99,     0.0, ,S,30
FMW00040308,05,99,99,     0.0, ,S,30
FMW00040308,06,99,99,     0.0, ,S,30
FMW00040308,07,99,99,     0.0, ,S,30
FMW00040308,08,99,99,     0.0, ,S,30
FMW00040308,09,99,99,     0.0, ,S,30
FMW00040308,10,99,99,     0.0, ,S,30
FMW00040308,11,99,99,     0.0, ,S,30
FMW00040308,12,99,99,     0.0, ,S,30
FMW00040504,01,99,99,     0.0, ,S,30
FMW00040504,02,99,99,     0.0, ,S,30
FMW00040504,03,99,99,     0.0, ,S,30
FMW00040504,04,99,99,     0.0, ,S,30
FMW00040504,05,99,99,     0.0, ,S,30
FMW00040504,06,99,99,     0.0, ,S,30
FMW00040504,07,99,99,     0.0, ,S,30
FMW00040504,08,99,99,     0.0, ,S,30
FMW00040504,09,99,99,     0.0, ,S,30
FMW00040504,10,99,99,     0.0, ,S,30
FMW00040504,11,99,99,     0.0, ,S,30
FMW00040504,12,99,99,     0.0, ,S,30
GQC00914025,01,99,99,     0.0, ,R,12
GQC00914025,02,99,99,     0.0, ,R,11
