GHCN_ID,month,day,hour,MAM-TAVG-NORMAL,meas_flag_MAM-TAVG-NORMAL,comp_flag_MAM-TAVG-NORMAL,years_MAM-TAVG-NORMAL,MAM-TMIN-NORMAL,meas_flag_MAM-TMIN-NORMAL,comp_flag_MAM-TMIN-NORMAL,years_MAM-TMIN-NORMAL,MAM-TMAX-NORMAL,meas_flag_MAM-TMAX-NORMAL,comp_flag_MAM-TMAX-NORMAL,years_MAM-TMAX-NORMAL,MAM-DUTR-NORMAL,meas_flag_MAM-DUTR-NORMAL,comp_flag_MAM-DUTR-NORMAL,years_MAM-DUTR-NORMAL
CAW00064757,99,99,99,    41.5, ,R,16,    31.8, ,R,16,    51.2, ,R,16,    19.4, ,R,16
CQC00914080,99,99,99,    78.6, ,R,21,    74.0, ,R,21,    83.2, ,R,22,     9.2, ,R,21
CQC00914801,99,99,99,    80.2, ,R,19,    75.1, ,R,19,    85.2, ,R,22,    10.1, ,R,19
CQC00914855,99,99,99,    81.7, ,R,15,    76.7, ,R,15,    86.7, ,R,15,    10.0, ,R,15
FMC00914395,99,99,99,    80.7, ,S,27,    73.8, ,S,27,    87.7, ,S,27,    13.9, ,S,27
FMC00914419,99,99,99,    81.9, ,P,13,    75.2, ,P,13,    88.6, ,P,13,    13.4, ,P,13
FMC00914446,99,99,99,    82.7, ,R,15,    77.5, ,R,15,    88.0, ,R,16,    10.5, ,R,15
FMC00914720,99,99,99,    82.3, ,R,16,    74.9, ,R,16,    89.8, ,R,16,    15.0, ,R,16
FMC00914761,99,99,99,    82.7, ,P,13,    75.4, ,P,13,    90.0, ,P,13,    14.6, ,P,13
FMC00914831,99,99,99,    81.5, ,R,10,    76.4, ,R,11,    86.6, ,R,10,    10.2, ,R,10
FMC00914843,99,99,99,    80.9, ,P,13,    74.7, ,P,13,    87.1, ,P,14,    12.3, ,P,13
FMC00914892,99,99,99,    81.7, ,R,11,    75.6, ,R,11,    87.8, ,R,11,    12.3, ,R,11
FMC00914898,99,99,99,    81.0, ,P,15,    75.5, ,P,15,    86.6, ,P,15,    11.1, ,P,15
FMC00914911,99,99,99,    81.2, ,P,13,    74.5, ,P,13,    87.9, ,P,13,    13.5, ,P,13
FMW00040308,99,99,99,    82.0, ,S,30,    75.5, ,S,30,    88.5, ,S,30,    13.0, ,S,30
FMW00040504,99,99,99,    81.2, ,S,30,    74.9, ,S,30,    87.5, ,S,30,    12.6, ,S,30
GQC00914025,99,99,99,    81.2, ,R,12,    77.1, ,R,12,    85.2, ,R,12,     8.0, ,R,12
JQW00021603,99,99,99,    80.0, ,P,13,    74.4, ,P,13,    85.7, ,P,13,    11.3, ,P,13
PSC00914519,99,99,99,    80.4, ,R,17,    73.5, ,R,17,    87.2, ,R,18,    13.8, ,R,17
PSC00914712,99,99,99,    81.9, ,P,19,    78.3, ,P,19,    85.5, ,P,19,     7.2, ,P,19
PSW00040309,99,99,99,    82.7, ,S,28,    76.4, ,S,28,    89.1, ,S,28,    12.8, ,S,28
RMC00914053,99,99,99,    81.5, ,P,11,    76.4, ,P,11,    86.6, ,P,11,    10.2, ,P,11
RMW00040604,99,99,99,    82.8, ,S,30,    78.9, ,S,30,    86.8, ,S,30,     7.9, ,S,30
RQC00660061,99,99,99,    70.4, ,R,23,    59.3, ,R,23,    81.4, ,S,25,    22.1, ,R,23
RQC00660152,99,99,99,    77.4, ,P,13,    69.4, ,P,16,    85.4, ,P,13,    15.9, ,P,13
RQC00660158,99,99,99,    70.7, ,P,22,    63.6, ,P,22,    77.8, ,S,25,    14.2, ,P,22
RQC00660426,99,99,99,    72.9, ,P,19,    62.5, ,P,19,    83.3, ,S,27,    20.8, ,P,19
RQC00662801,99,99,99,    77.6, ,P,22,    68.7, ,S,25,    86.4, ,P,22,    17.7, ,P,22
RQC00663409,99,99,99,    77.0, ,P,12,    69.9, ,P,12,    84.1, ,P,12,    14.2, ,P,12
RQC00663431,99,99,99,    77.0, ,R,20,    66.5, ,R,20,    87.5, ,S,26,    21.0, ,R,20
RQC00664193,99,99,99,    80.3, ,P,21,    73.8, ,S,26,    86.9, ,R,21,    13.1, ,P,21
RQC00664276,99,99,99,    76.6, ,P,13,    65.7, ,P,13,    87.5, ,P,18,    21.8, ,P,13
RQC00664702,99,99,99,    76.2, ,P,22,    68.8, ,S,24,    83.5, ,R,22,    14.7, ,P,22
RQC00665064,99,99,99,    76.4, ,S,27,    67.9, ,S,27,    84.9, ,S,30,    17.1, ,S,27
RQC00665097,99,99,99,    77.2, ,S,26,    65.9, ,S,26,    88.5, ,S,27,    22.5, ,S,26
RQC00665693,99,99,99,    79.7, ,R,17,    72.5, ,R,17,    86.9, ,R,19,    14.3, ,R,17
RQC00665807,99,99,99,    75.8, ,P,22,    67.8, ,S,27,    83.9, ,R,22,    16.1, ,P,22
RQC00665908,99,99,99,    70.1, ,P,10,    63.1, ,P,10,    77.1, ,P,14,    14.0, ,P,10
RQC00666073,99,99,99,    78.3, ,P,13,    69.2, ,P,13,    87.5, ,P,13,    18.3, ,P,13
RQC00666258,99,99,99,    78.9, ,P,17,    69.7, ,P,17,    88.2, ,P,18,    18.6, ,P,17
RQC00666730,99,99,99,    76.3, ,P,11,    67.7, ,P,11,    84.8, ,P,11,    17.0, ,P,11
RQC00666992,99,99,99,    64.0, ,P,12,    60.2, ,P,12,    67.9, ,P,13,     7.7, ,P,12
RQC00667292,99,99,99,    76.7, ,P,18,    64.7, ,P,18,    88.6, ,P,22,    23.9, ,P,18
RQC00668306,99,99,99,    77.8, ,P,12,    68.4, ,P,12,    87.2, ,P,12,    18.8, ,P,12
RQC00668814,99,99,99,    78.9, ,R,14,    72.4, ,R,14,    85.3, ,R,14,    13.0, ,R,14
RQC00669415,99,99,99,    78.7, ,R,14,    71.9, ,R,14,    85.4, ,R,14,    13.5, ,R,14
RQC00669521,99,99,99,    77.6, ,P,22,    68.8, ,R,22,    86.3, ,P,23,    17.4, ,P,22
RQW00011603,99,99,99,    79.5, ,P,15,    70.6, ,P,15,    88.4, ,P,16,    17.8, ,P,15
RQW00011630,99,99,99,    79.6, ,P,17,    73.6, ,P,17,    85.6, ,R,17,    12.0, ,P,17
RQW00011641,99,99,99,    80.1, ,S,29,    74.0, ,S,29,    86.1, ,S,29,    12.1, ,S,29
USC00010063,99,99,99,    59.4, ,R,14,    47.4, ,R,14,    71.4, ,R,15,    24.0, ,R,14
USC00010160,99,99,99,    62.2, ,S,30,    49.2, ,S,30,    75.2, ,S,30,    26.0, ,S,30
USC00010178,99,99,99,    62.9, ,R,17,    50.6, ,R,17,    75.1, ,R,21,    24.5, ,R,17
USC00010252,99,99,99,    64.4, ,R,23,    51.1, ,S,24,    77.8, ,R,23,    26.7, ,R,23
USC00010260,99,99,99,    60.8, ,R,12,    49.4, ,R,12,    72.1, ,R,15,    22.7, ,R,12
USC00010369,99,99,99,    60.6, ,R,19,    47.1, ,R,19,    74.0, ,R,19,    26.9, ,R,19
USC00010390,99,99,99,    62.3, ,S,26,    51.7, ,S,26,    72.8, ,S,29,    21.0, ,S,26
USC00010402,99,99,99,    67.4, ,S,28,    55.7, ,S,28,    79.0, ,S,30,    23.4, ,S,28
USC00010425,99,99,99,    63.4, ,R,21,    52.1, ,R,21,    74.6, ,S,24,    22.5, ,R,21
USC00010505,99,99,99,    62.8, ,R,21,    51.1, ,R,21,    74.5, ,S,28,    23.3, ,R,21
USC00010583,99,99,99,    67.4, ,S,28,    57.3, ,S,29,    77.6, ,S,28,    20.3, ,S,28
USC00010655,99,99,99,    59.4, ,S,26,    47.8, ,S,26,    70.9, ,S,28,    23.2, ,S,26
USC00010764,99,99,99,    63.4, ,S,27,    50.9, ,S,27,    75.8, ,S,29,    24.9, ,S,27
USC00011080,99,99,99,    64.9, ,R,25,    53.0, ,S,27,    76.7, ,S,25,    23.7, ,R,25
USC00011084,99,99,99,    67.0, ,R,13,    54.1, ,R,13,    79.8, ,R,19,    25.7, ,R,13
USC00011099,99,99,99,    58.7, ,R,23,    46.8, ,S,24,    70.6, ,R,23,    23.8, ,R,23
USC00011301,99,99,99,    65.2, ,R,11,    52.5, ,R,11,    77.8, ,R,11,    25.3, ,R,11
USC00011324,99,99,99,    60.8, ,R,11,    46.0, ,R,11,    75.7, ,R,11,    29.8, ,R,11
USC00011490,99,99,99,    59.2, ,R,13,    45.8, ,R,13,    72.5, ,R,13,    26.7, ,R,13
USC00011566,99,99,99,    64.2, ,R,21,    50.0, ,R,21,    78.4, ,R,21,    28.3, ,R,21
USC00011620,99,99,99,    64.5, ,R,25,    50.8, ,S,25,    78.2, ,S,26,    27.4, ,R,25
USC00011694,99,99,99,    63.0, ,R,20,    50.3, ,S,26,    75.8, ,R,20,    25.5, ,R,20
USC00011725,99,99,99,    64.9, ,S,25,    53.1, ,S,25,    76.8, ,S,25,    23.7, ,S,25
USC00011803,99,99,99,    65.5, ,S,24,    55.4, ,S,24,    75.6, ,S,24,    20.2, ,S,24
USC00012096,99,99,99,    58.5, ,R,21,    46.3, ,R,21,    70.6, ,R,21,    24.3, ,R,21
USC00012172,99,99,99,    68.5, ,S,24,    63.4, ,S,28,    73.7, ,S,24,    10.3, ,S,24
USC00012209,99,99,99,    61.3, ,R,15,    49.6, ,R,19,    73.0, ,R,15,    23.5, ,R,15
USC00012245,99,99,99,    64.1, ,R,21,    51.5, ,R,21,    76.7, ,S,28,    25.2, ,R,21
USC00012675,99,99,99,    66.3, ,R,22,    54.0, ,R,22,    78.6, ,R,23,    24.6, ,R,22
USC00012730,99,99,99,    66.1, ,R,20,    51.3, ,R,20,    80.9, ,S,25,    29.7, ,R,20
USC00012758,99,99,99,    65.0, ,S,25,    52.5, ,S,27,    77.5, ,S,25,    24.9, ,S,25
USC00012813,99,99,99,    65.5, ,S,29,    52.7, ,S,29,    78.2, ,S,29,    25.5, ,S,29
USC00012883,99,99,99,    63.1, ,R,16,    50.6, ,R,16,    75.5, ,R,18,    24.8, ,R,16
USC00013043,99,99,99,    61.6, ,R,14,    50.1, ,R,18,    73.2, ,R,14,    23.1, ,R,14
USC00013154,99,99,99,    62.7, ,S,24,    51.1, ,S,24,    74.3, ,S,28,    23.2, ,S,24
USC00013160,99,99,99,    63.2, ,S,28,    50.6, ,S,28,    75.8, ,S,28,    25.2, ,S,28
USC00013251,99,99,99,    65.3, ,S,26,    50.9, ,S,27,    79.7, ,S,26,    28.8, ,S,26
USC00013511,99,99,99,    63.6, ,S,27,    52.6, ,S,27,    74.6, ,S,27,    22.0, ,S,27
USC00013519,99,99,99,    64.1, ,S,26,    50.1, ,S,28,    78.0, ,S,26,    28.0, ,S,26
USC00013573,99,99,99,    61.3, ,S,26,    51.0, ,S,26,    71.6, ,S,26,    20.6, ,S,26
USC00013575,99,99,99,    61.1, ,R,23,    51.0, ,R,23,    71.1, ,R,23,    20.1, ,R,23
USC00013620,99,99,99,    61.4, ,S,26,    50.6, ,S,26,    72.3, ,S,28,    21.6, ,S,26
USC00013645,99,99,99,    60.2, ,S,27,    45.9, ,S,27,    74.6, ,S,28,    28.7, ,S,27
USC00013655,99,99,99,    59.0, ,R,13,    46.8, ,R,16,    71.2, ,R,13,    24.4, ,R,13
USC00013761,99,99,99,    66.9, ,R,14,    54.6, ,R,14,    79.2, ,R,22,    24.7, ,R,14
USC00013775,99,99,99,    59.7, ,S,25,    46.5, ,S,27,    73.0, ,S,25,    26.4, ,S,25
USC00013781,99,99,99,    64.0, ,R,15,    52.2, ,R,17,    75.8, ,R,15,    23.7, ,R,15
USC00013816,99,99,99,    61.6, ,R,20,    47.7, ,R,21,    75.5, ,R,20,    27.8, ,R,20
USC00013818,99,99,99,    64.8, ,E, 5,    52.2, ,E, 5,    77.3, ,E, 5,    25.2, ,E, 5
USC00014193,99,99,99,    65.0, ,S,25,    52.1, ,S,26,    77.8, ,S,25,    25.7, ,S,25
USC00014226,99,99,99,    60.7, ,R,14,    48.7, ,R,14,    72.8, ,R,20,    24.2, ,R,14
USC00014502,99,99,99,    60.8, ,R,24,    46.8, ,S,25,    74.7, ,S,24,    27.9, ,R,24
USC00014798,99,99,99,    64.0, ,R,14,    50.9, ,R,14,    77.0, ,R,15,    26.0, ,R,14
USC00015121,99,99,99,    64.8, ,S,28,    51.9, ,S,28,    77.6, ,S,28,    25.7, ,S,28
USC00015439,99,99,99,    62.7, ,R,19,    49.9, ,R,19,    75.4, ,R,21,    25.5, ,R,19
USC00015553,99,99,99,    67.9, ,R,19,    56.5, ,R,19,    79.2, ,R,20,    22.8, ,R,19
USC00015635,99,99,99,    60.2, ,S,26,    48.8, ,S,26,    71.5, ,S,27,    22.8, ,S,26
USC00015751,99,99,99,    60.3, ,E, 7,    48.3, ,E, 7,    72.2, ,E, 9,    23.9, ,E, 7
USC00016121,99,99,99,    61.9, ,R,11,    50.2, ,R,15,    73.5, ,R,11,    23.3, ,R,11
USC00016129,99,99,99,    61.8, ,R,21,    49.4, ,R,21,    74.1, ,R,23,    24.6, ,R,21
USC00016196,99,99,99,    58.9, ,R,15,    46.9, ,R,15,    70.9, ,R,16,    24.0, ,R,15
USC00016478,99,99,99,    61.3, ,R,19,    48.3, ,R,19,    74.3, ,R,22,    26.1, ,R,19
USC00016988,99,99,99,    66.1, ,S,24,    54.9, ,S,28,    77.3, ,S,24,    22.4, ,S,24
USC00017020,99,99,99,    62.5, ,R,14,    50.5, ,R,14,    74.5, ,R,14,    24.0, ,R,14
USC00017025,99,99,99,    62.0, ,R,15,    48.8, ,R,18,    75.1, ,R,15,    26.2, ,R,15
USC00017131,99,99,99,    60.9, ,R,17,    48.8, ,R,17,    72.9, ,R,21,    24.1, ,R,17
USC00017157,99,99,99,    61.4, ,R,21,    49.6, ,R,21,    73.1, ,S,26,    23.6, ,R,21
USC00017207,99,99,99,    59.1, ,S,27,    48.1, ,S,27,    70.1, ,S,29,    22.0, ,S,27
USC00017304,99,99,99,    59.2, ,S,30,    46.7, ,S,30,    71.6, ,S,30,    25.0, ,S,30
USC00017366,99,99,99,    65.5, ,R,19,    52.8, ,R,19,    78.1, ,S,24,    25.3, ,R,19
USC00017999,99,99,99,    61.4, ,S,27,    48.6, ,S,27,    74.2, ,S,27,    25.6, ,S,27
USC00018024,99,99,99,    60.8, ,S,25,    47.2, ,S,25,    74.5, ,S,26,    27.3, ,S,25
USC00018178,99,99,99,    65.8, ,R,21,    53.8, ,R,21,    77.7, ,R,21,    23.9, ,R,21
USC00018209,99,99,99,    62.1, ,R,24,    49.9, ,S,24,    74.3, ,S,25,    24.3, ,R,24
USC00018323,99,99,99,    65.0, ,S,25,    53.3, ,S,25,    76.8, ,S,26,    23.6, ,S,25
USC00018380,99,99,99,    66.1, ,R,22,    54.3, ,R,23,    77.9, ,R,22,    23.5, ,R,22
USC00018438,99,99,99,    62.7, ,R,22,    49.9, ,S,24,    75.4, ,R,22,    25.5, ,R,22
USC00018469,99,99,99,    57.9, ,S,27,    46.4, ,S,27,    69.5, ,S,29,    23.1, ,S,27
USC00018517,99,99,99,    63.3, ,R,23,    51.0, ,R,23,    75.5, ,S,24,    24.5, ,R,23
USC00018867,99,99,99,    64.4, ,R,13,    51.7, ,R,13,    77.1, ,R,15,    25.4, ,R,13
USC00018998,99,99,99,    60.3, ,S,26,    47.9, ,S,26,    72.7, ,S,26,    24.8, ,S,26
USC00020060,99,99,99,    63.2, ,R,13,    46.4, ,R,18,    80.0, ,R,13,    33.7, ,R,13
USC00020080,99,99,99,    71.3, ,R,18,    58.2, ,R,18,    84.4, ,R,18,    26.1, ,R,18
USC00020100,99,99,99,    67.2, ,R,25,    48.9, ,S,25,    85.5, ,S,27,    36.6, ,R,25
USC00020159,99,99,99,    43.9, ,R,21,    26.7, ,R,21,    61.1, ,R,22,    34.4, ,R,21
USC00020287,99,99,99,    64.2, ,S,25,    46.1, ,S,25,    82.3, ,S,28,    36.1, ,S,25
USC00020288,99,99,99,    69.3, ,S,27,    53.5, ,S,27,    85.0, ,S,27,    31.5, ,S,27
USC00020404,99,99,99,    67.1, ,R,12,    49.9, ,R,12,    84.3, ,R,12,    34.3, ,R,12
USC00020586,99,99,99,    57.3, ,S,27,    42.1, ,S,27,    72.6, ,S,28,    30.5, ,S,27
USC00020672,99,99,99,    66.4, ,R,14,    49.7, ,R,14,    83.1, ,R,22,    33.4, ,R,14
USC00020678,99,99,99,    42.2, ,R,18,    24.6, ,R,18,    59.8, ,R,21,    35.2, ,R,18
USC00020683,99,99,99,    61.7, ,S,24,    41.6, ,S,24,    81.8, ,S,24,    40.2, ,S,24
USC00020750,99,99,99,    48.9, ,S,28,    36.5, ,S,28,    61.3, ,S,28,    24.8, ,S,28
USC00020775,99,99,99,    59.1, ,R,19,    44.5, ,R,21,    73.8, ,R,19,    29.3, ,R,19
USC00020808,99,99,99,    50.3, ,R,18,    32.0, ,R,18,    68.6, ,R,20,    36.6, ,R,18
USC00020871,99,99,99,    46.6, ,R,21,    30.9, ,R,21,    62.2, ,R,23,    31.3, ,R,21
USC00020949,99,99,99,    69.9, ,R,21,    53.1, ,R,21,    86.7, ,S,25,    33.6, ,R,21
USC00020958,99,99,99,    62.4, ,R,16,    44.7, ,R,18,    80.1, ,R,16,    35.5, ,R,16
USC00021001,99,99,99,    40.9, ,R,22,    28.9, ,R,23,    52.8, ,R,22,    23.9, ,R,22
USC00021050,99,99,99,    72.6, ,R,23,    57.7, ,R,23,    87.5, ,S,24,    29.7, ,R,23
USC00021231,99,99,99,    56.7, ,R,14,    39.4, ,R,14,    74.0, ,R,16,    34.6, ,R,14
USC00021248,99,99,99,    52.9, ,S,27,    36.3, ,S,28,    69.5, ,S,27,    33.3, ,S,27
USC00021282,99,99,99,    68.1, ,R,22,    54.0, ,R,22,    82.2, ,S,24,    28.2, ,R,22
USC00021306,99,99,99,    70.8, ,R,16,    53.6, ,R,17,    87.9, ,R,16,    34.4, ,R,16
USC00021314,99,99,99,    69.1, ,S,25,    51.7, ,S,26,    86.6, ,S,25,    34.8, ,S,25
USC00021330,99,99,99,    61.0, ,R,18,    39.9, ,R,18,    82.2, ,R,22,    42.3, ,R,18
USC00021353,99,99,99,    69.8, ,R,23,    54.8, ,S,27,    84.8, ,R,23,    30.0, ,R,23
USC00021357,99,99,99,    62.9, ,R,12,    43.1, ,R,12,    82.6, ,R,12,    39.4, ,R,12
USC00021514,99,99,99,    69.7, ,R,13,    54.6, ,R,13,    84.8, ,R,13,    30.3, ,R,13
USC00021614,99,99,99,    61.7, ,R,11,    42.4, ,R,11,    81.1, ,R,13,    38.8, ,R,11
USC00021654,99,99,99,    55.1, ,R,16,    38.1, ,R,16,    72.1, ,R,18,    34.0, ,R,16
USC00021664,99,99,99,    58.1, ,R,13,    41.9, ,R,13,    74.3, ,R,13,    32.4, ,R,13
USC00021849,99,99,99,    66.6, ,R,15,    51.7, ,R,15,    81.5, ,R,19,    29.8, ,R,15
USC00021920,99,99,99,    53.8, ,R,19,    38.9, ,R,19,    68.6, ,R,21,    29.7, ,R,19
USC00022109,99,99,99,    58.9, ,S,29,    43.3, ,S,29,    74.4, ,S,29,    31.1, ,S,29
USC00022140,99,99,99,    60.4, ,S,25,    45.3, ,S,25,    75.5, ,S,27,    30.2, ,S,25
USC00022434,99,99,99,    69.9, ,R,13,    52.9, ,R,13,    86.9, ,R,14,    34.0, ,R,13
USC00022527,99,99,99,    50.4, ,R,16,    32.7, ,R,17,    68.1, ,R,16,    35.4, ,R,16
USC00022659,99,99,99,    63.5, ,R,15,    46.1, ,R,15,    81.0, ,R,15,    34.9, ,R,15
USC00022754,99,99,99,    60.1, ,S,24,    39.6, ,S,28,    80.6, ,S,24,    41.0, ,S,24
USC00022782,99,99,99,    69.9, ,R,14,    54.2, ,R,14,    85.6, ,R,14,    31.4, ,R,14
USC00022790,99,99,99,    71.9, ,R,13,    57.3, ,R,13,    86.6, ,R,16,    29.3, ,R,13
USC00022807,99,99,99,    69.0, ,R,13,    49.7, ,R,13,    88.4, ,R,14,    38.7, ,R,13
USC00023009,99,99,99,    42.2, ,R,21,    25.3, ,R,21,    59.2, ,S,28,    34.0, ,R,21
USC00023027,99,99,99,    70.3, ,R,12,    54.4, ,R,12,    86.2, ,R,14,    31.7, ,R,12
USC00023150,99,99,99,    63.3, ,R,18,    44.2, ,R,18,    82.3, ,R,19,    38.1, ,R,18
USC00023160,99,99,99,    45.1, ,R,18,    27.8, ,R,23,    62.4, ,R,18,    34.5, ,R,18
USC00023190,99,99,99,    69.8, ,R,21,    57.2, ,R,21,    82.3, ,R,23,    25.1, ,R,21
USC00023303,99,99,99,    49.0, ,R,13,    32.6, ,R,13,    65.3, ,R,13,    32.7, ,R,13
USC00023393,99,99,99,    72.6, ,R,21,    55.6, ,R,22,    89.7, ,R,21,    34.1, ,R,21
USC00023501,99,99,99,    62.0, ,R,11,    47.7, ,R,11,    76.4, ,R,11,    28.7, ,R,11
USC00023582,99,99,99,    48.3, ,E, 8,    36.9, ,E, 8,    59.7, ,E, 8,    22.9, ,E, 8
USC00023584,99,99,99,    47.2, ,E, 9,    35.4, ,E, 9,    58.9, ,E, 9,    23.5, ,E, 9
USC00023596,99,99,99,    45.6, ,R,13,    29.8, ,R,13,    61.5, ,R,17,    31.6, ,R,13
USC00023668,99,99,99,    66.9, ,R,21,    51.0, ,R,21,    82.8, ,R,21,    31.8, ,R,21
USC00023683,99,99,99,    42.3, ,R,16,    26.7, ,R,16,    57.9, ,R,16,    31.2, ,R,16
USC00023828,99,99,99,    43.2, ,R,20,    30.0, ,R,20,    56.4, ,R,20,    26.4, ,R,20
USC00023961,99,99,99,    48.3, ,R,17,    32.9, ,R,20,    63.7, ,R,17,    30.9, ,R,17
USC00024089,99,99,99,    55.4, ,R,16,    37.9, ,R,17,    72.9, ,R,16,    35.0, ,R,16
USC00024453,99,99,99,    58.1, ,S,25,    47.4, ,S,25,    68.8, ,S,27,    21.4, ,S,25
USC00024534,99,99,99,    60.8, ,R,10,    45.6, ,R,11,    76.0, ,R,10,    30.3, ,R,10
USC00024586,99,99,99,    49.3, ,R,12,    32.6, ,R,14,    66.0, ,R,12,    33.4, ,R,12
USC00024675,99,99,99,    52.9, ,R,21,    42.4, ,R,21,    63.4, ,S,24,    21.0, ,R,21
USC00024702,99,99,99,    71.9, ,R,23,    60.3, ,R,23,    83.6, ,S,27,    23.3, ,R,23
USC00024761,99,99,99,    72.5, ,R,17,    58.7, ,R,17,    86.4, ,R,23,    27.7, ,R,17
USC00024829,99,99,99,    72.3, ,R,22,    57.4, ,R,22,    87.2, ,S,26,    29.8, ,R,22
USC00024849,99,99,99,    62.6, ,R,13,    49.9, ,R,13,    75.2, ,R,13,    25.3, ,R,13
USC00024977,99,99,99,    71.8, ,R,19,    57.9, ,R,22,    85.8, ,R,19,    28.0, ,R,19
USC00025129,99,99,99,    49.2, ,R,10,    36.0, ,R,10,    62.5, ,R,11,    26.5, ,R,10
USC00025270,99,99,99,    70.1, ,R,21,    51.6, ,R,22,    88.6, ,R,21,    37.0, ,R,21
USC00025412,99,99,99,    46.1, ,S,26,    31.6, ,S,26,    60.5, ,S,30,    28.9, ,S,26
USC00025418,99,99,99,    63.0, ,E, 7,    44.0, ,E, 7,    81.9, ,E, 7,    37.9, ,E, 7
USC00025426,99,99,99,    64.0, ,R,13,    50.9, ,R,13,    77.1, ,R,13,    26.2, ,R,13
USC00025494,99,99,99,    54.4, ,E, 8,    39.8, ,E, 8,    68.9, ,E,10,    29.2, ,E, 8
USC00025512,99,99,99,    64.5, ,R,17,    49.8, ,R,17,    79.1, ,R,17,    29.3, ,R,17
USC00025635,99,99,99,    60.1, ,S,29,    40.7, ,S,29,    79.5, ,S,29,    38.8, ,S,29
USC00025665,99,99,99,    55.8, ,R,13,    43.7, ,R,13,    67.9, ,R,15,    24.1, ,R,13
USC00025700,99,99,99,    71.0, ,E, 3,    56.6, ,E, 3,    85.5, ,E, 3,    28.9, ,E, 3
USC00025737,99,99,99,    52.9, ,E, 3,    43.4, ,E, 3,    62.4, ,E, 3,    19.0, ,E, 3
USC00025780,99,99,99,    44.1, ,R,18,    27.9, ,R,19,    60.3, ,R,18,    32.4, ,R,18
USC00025825,99,99,99,    56.1, ,R,15,    41.4, ,R,15,    70.9, ,R,15,    29.5, ,R,15
USC00025924,99,99,99,    60.1, ,R,18,    40.3, ,R,18,    79.9, ,S,25,    39.6, ,R,18
USC00026037,99,99,99,    55.3, ,R,22,    40.0, ,R,22,    70.6, ,R,23,    30.6, ,R,22
USC00026117,99,99,99,    59.7, ,R,11,    44.5, ,R,11,    74.8, ,R,11,    30.3, ,R,11
USC00026119,99,99,99,    60.0, ,R,16,    47.8, ,R,16,    72.3, ,R,16,    24.5, ,R,16
USC00026132,99,99,99,    69.5, ,R,23,    52.8, ,R,23,    86.1, ,S,25,    33.3, ,R,23
USC00026180,99,99,99,    58.1, ,R,22,    45.2, ,R,22,    71.0, ,R,22,    25.8, ,R,22
USC00026190,99,99,99,    52.6, ,R,13,    36.2, ,R,13,    68.9, ,R,15,    32.7, ,R,13
USC00026194,99,99,99,    72.3, ,R,15,    57.0, ,R,15,    87.5, ,R,15,    30.4, ,R,15
USC00026242,99,99,99,    56.0, ,R,10,    39.3, ,R,10,    72.8, ,R,10,    33.4, ,R,10
USC00026250,99,99,99,    72.1, ,E,10,    56.9, ,R,11,    87.3, ,R,10,    30.4, ,E,10
USC00026353,99,99,99,    60.2, ,S,24,    42.6, ,S,26,    77.9, ,S,24,    35.3, ,S,24
USC00026468,99,99,99,    54.4, ,S,26,    36.2, ,S,26,    72.5, ,S,27,    36.2, ,S,26
USC00026471,99,99,99,    67.1, ,S,25,    52.8, ,S,25,    81.5, ,S,27,    28.8, ,S,25
USC00026513,99,99,99,    70.6, ,R,20,    55.1, ,R,20,    86.1, ,S,27,    31.0, ,R,20
USC00026601,99,99,99,    47.5, ,R,17,    32.2, ,R,17,    62.7, ,R,17,    30.5, ,R,17
USC00026603,99,99,99,    66.8, ,R,14,    54.6, ,R,16,    78.9, ,R,14,    24.2, ,R,14
USC00026616,99,99,99,    53.1, ,S,26,    37.3, ,S,26,    68.8, ,S,27,    31.5, ,S,26
USC00026653,99,99,99,    52.2, ,R,19,    36.0, ,R,19,    68.5, ,S,24,    32.5, ,R,19
USC00026716,99,99,99,    55.4, ,S,24,    37.4, ,S,24,    73.5, ,S,25,    36.1, ,S,24
USC00026796,99,99,99,    53.2, ,S,27,    38.0, ,S,27,    68.4, ,S,30,    30.4, ,S,27
USC00026840,99,99,99,    64.3, ,R,20,    47.5, ,R,20,    81.1, ,R,21,    33.6, ,R,20
USC00026865,99,99,99,    72.3, ,S,29,    57.7, ,S,29,    86.9, ,S,29,    29.2, ,S,29
USC00027187,99,99,99,    70.2, ,R,10,    52.9, ,R,10,    87.5, ,R,10,    34.6, ,R,10
USC00027281,99,99,99,    68.6, ,R,20,    55.0, ,R,20,    82.2, ,R,23,    27.3, ,R,20
USC00027390,99,99,99,    64.4, ,S,26,    46.1, ,S,26,    82.7, ,S,26,    36.6, ,S,26
USC00027398,99,99,99,    68.6, ,E, 9,    54.8, ,E, 9,    82.4, ,E, 9,    27.6, ,E, 9
USC00027435,99,99,99,    53.7, ,S,25,    36.1, ,S,25,    71.4, ,S,28,    35.4, ,S,25
USC00027480,99,99,99,    63.0, ,R,18,    47.3, ,R,18,    78.8, ,R,19,    31.6, ,R,18
USC00027488,99,99,99,    50.0, ,R,19,    31.6, ,R,20,    68.3, ,R,19,    36.7, ,R,19
USC00027530,99,99,99,    65.6, ,E,10,    52.1, ,E,10,    79.1, ,E,10,    26.9, ,E,10
USC00027560,99,99,99,    61.8, ,S,26,    41.9, ,S,26,    81.7, ,S,26,    39.9, ,S,26
