GHCN_ID,month,day,hour,MAM-TAVG-NORMAL,meas_flag_MAM-TAVG-NORMAL,comp_flag_MAM-TAVG-NORMAL,years_MAM-TAVG-NORMAL,MAM-TMIN-NORMAL,meas_flag_MAM-TMIN-NORMAL,comp_flag_MAM-TMIN-NORMAL,years_MAM-TMIN-NORMAL,MAM-TMAX-NORMAL,meas_flag_MAM-TMAX-NORMAL,comp_flag_MAM-TMAX-NORMAL,years_MAM-TMAX-NORMAL,MAM-DUTR-NORMAL,meas_flag_MAM-DUTR-NORMAL,comp_flag_MAM-DUTR-NORMAL,years_MAM-DUTR-NORMAL
USC00313784,99,99,99,    62.7, ,R,23,    50.6, ,R,23,    74.9, ,S,28,    24.3, ,R,23
USC00313919,99,99,99,    59.2, ,R,11,    47.0, ,R,11,    71.4, ,R,14,    24.3, ,R,11
USC00313923,99,99,99,    54.7, ,E, 3,    41.1, ,E, 3,    68.2, ,E, 3,    27.1, ,E, 3
USC00313969,99,99,99,    57.3, ,S,26,    43.3, ,S,26,    71.3, ,S,28,    28.0, ,S,26
USC00313971,99,99,99,    59.1, ,E, 5,    47.7, ,E, 5,    70.5, ,E, 5,    22.8, ,E, 5
USC00313976,99,99,99,    55.3, ,R,21,    43.2, ,R,21,    67.5, ,S,29,    24.3, ,R,21
USC00314055,99,99,99,    50.4, ,S,26,    39.0, ,S,29,    61.7, ,S,26,    22.7, ,S,26
USC00314063,99,99,99,    60.9, ,R,24,    49.1, ,S,24,    72.6, ,S,26,    23.5, ,R,24
USC00314144,99,99,99,    59.1, ,R,15,    46.5, ,R,15,    71.7, ,R,18,    25.2, ,R,15
USC00314260,99,99,99,    57.2, ,S,27,    44.8, ,S,27,    69.6, ,S,27,    24.8, ,S,27
USC00314456,99,99,99,    57.7, ,S,25,    45.1, ,S,25,    70.2, ,S,27,    25.1, ,S,25
USC00314464,99,99,99,    60.9, ,R,24,    49.9, ,S,24,    71.8, ,S,27,    21.9, ,R,24
